repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,liveness,unique-contributors,new-commits-last-30d
activepieces/activepieces,21849,515,226,115,25,23.571,0,0,1238,397,TypeScript,false,0,Full fledged product,100.000,26,387
aiidateam/aiida-core,560,8,0,0,0,14.286,16,1,3408,109,Python,false,0,Full fledged product,54.000,8,25
apache/incubator-airflow,45176,467,211,116,29,10.337,0,0,4028,3801,Python,false,0,Full fledged product,100.000,153,693
argoproj/argo-workflows,16642,100,55,27,5,6.009,0,0,3167,1004,Go,false,107,Full fledged product,100.000,16,112
arvados/arvados,417,1,1,0,0,2.398,10,0,4761,83,Go,false,51,Full fledged product,65.000,4,85
azkaban/azkaban,4512,2,0,0,0,0.443,16,968,4936,125,Java,false,0,Full fledged product,4.000,0,0
brigadecore/brigade,2410,0,0,0,0,0.000,80,1304,3104,91,Go,false,0,Full fledged product,0.000,0,0
bytechefhq/bytechef,749,11,7,5,3,14.686,0,0,1667,40,Java,false,0,Full fledged product,91.000,11,724
zhennann/cabloy,967,0,0,0,0,0.000,31,0,3022,4,,false,0,Full fledged product,52.000,1,5
uber/cadence,9272,49,22,12,4,5.285,0,0,3348,178,Go,false,73,Full fledged product,100.000,21,104
camunda/camunda-bpm-platform,4270,11,7,3,0,2.576,2,171,4859,271,Java,true,0,Full fledged product,0.000,0,0
ovh/cds,4809,7,4,3,0,1.456,1,1,3482,113,Go,false,120,Full fledged product,54.000,4,8
ChunelFeng/CGraph,2266,13,6,3,0,5.737,2,5,1823,34,C++,false,0,Full fledged product,53.000,1,3
CloudSlang/cloud-slang,241,1,0,0,0,4.149,19,9,4141,87,Java,false,0,Full fledged product,24.000,3,6
conductor-oss/conductor,31689,300,132,67,11,9.467,0,3,868,102,Java,false,0,Full fledged product,100.000,13,78
copper-engine/copper-engine,285,2,1,0,0,7.018,9,46,4520,15,Java,false,0,Full fledged product,13.000,0,0
cordum-io/cordum,466,14,7,3,1,30.043,0,0,102,6,Go,false,28,Full fledged product,91.000,3,92
couler-proj/couler,942,1,0,0,0,1.062,18,563,2074,31,Python,false,4,Full fledged product,2.000,0,0
AgnostiqHQ/covalent,858,5,1,0,0,5.828,8,0,1632,64,Python,false,21,Full fledged product,59.000,1,2
broadinstitute/cromwell,1065,9,2,2,1,8.451,0,16,4024,195,Scala,false,0,Full fledged product,34.000,3,7
cylc/cylc-flow,377,8,5,2,0,21.220,2,0,5440,49,Python,false,0,Full fledged product,72.000,7,24
yohamta/dagu,3318,125,66,28,6,37.673,0,0,1462,71,Go,false,79,Full fledged product,100.000,7,151
dagster-io/dagster,15374,247,112,47,15,16.066,0,0,2915,635,Python,false,0,Full fledged product,100.000,32,274
dapr/dapr,25702,91,43,19,4,3.541,0,0,2501,322,Go,false,83,Full fledged product,100.000,7,50
DidactHQ/didact,151,5,3,2,1,33.113,0,56,908,1,C#,false,0,Full fledged product,28.000,0,0
treasure-data/digdag,1334,0,0,0,0,0.000,53,605,3870,268,Java,false,0,Full fledged product,0.000,0,0
apache/dolphinscheduler,14243,67,37,21,3,4.704,0,0,2610,634,Java,false,0,Full fledged product,100.000,12,59
elsa-workflows/elsa-core,7705,49,22,11,2,6.360,0,1,2761,180,C#,false,0,Full fledged product,90.000,6,21
j-easy/easy-rules,5242,16,8,3,0,3.052,2,1853,4792,22,Java,false,0,Full fledged product,21.000,0,0
materialsproject/fireworks,424,1,0,0,0,2.358,21,20,4853,60,Python,false,9,Full fledged product,14.000,3,5
fission/fission-workflows,381,0,0,0,0,0.000,105,2122,3207,18,Go,false,34,Full fledged product,0.000,0,0
floraison/flor,285,0,0,0,0,0.000,79,82,3823,10,Ruby,false,0,Full fledged product,0.000,0,0
lyft/flyte,6953,61,31,16,3,8.773,0,0,2376,317,Go,false,11,Full fledged product,100.000,10,19
formlio/forml,106,0,0,0,0,0.000,115,1061,1996,4,Python,false,0,Full fledged product,0.000,0,0
galaxyproject/galaxy,1760,13,8,5,0,7.386,1,1,4077,370,Python,false,1,Full fledged product,71.000,29,873
fieldryand/goflow,477,2,1,0,0,4.193,8,655,2223,3,Go,false,6,Full fledged product,7.000,0,0
huginn/huginn,49175,283,131,62,14,5.755,0,5,4793,230,Ruby,false,0,Full fledged product,100.000,2,65
imixs/imixs-workflow,413,2,0,0,0,4.843,21,10,4485,7,Java,false,0,Full fledged product,26.000,1,3
inngest/inngest,5255,183,88,41,8,34.824,0,0,1781,46,Go,false,0,Full fledged product,100.000,21,107
kestra-io/kestra,26759,277,116,61,11,10.352,0,0,2434,445,Java,false,0,Full fledged product,100.000,32,349
thbar/kiba,1773,0,0,0,0,0.000,99,103,4662,5,Ruby,false,0,Full fledged product,0.000,0,0
zenml-io/kitaru,122,75,43,24,7,614.754,0,0,49,10,Python,false,0,Full fledged product,100.000,9,88
kubeflow/pipelines,4125,22,11,6,1,5.333,0,0,2904,615,Python,false,0,Full fledged product,95.000,19,93
laravel-workflow/laravel-workflow,1188,21,10,5,0,17.677,1,10,1519,17,PHP,false,0,Full fledged product,47.000,2,6
hooopo/petri_flow,170,0,0,0,0,0.000,32,1216,2270,5,Ruby,false,0,Full fledged product,0.000,0,0
martian-lang/martian,159,0,0,0,0,0.000,115,21,3229,25,Go,false,5,Full fledged product,12.000,2,4
netflix/metaflow,10054,102,38,14,1,10.145,0,2,2410,926,Python,false,0,Full fledged product,96.000,4,11
masstransit/masstransit,7731,45,20,12,3,5.821,0,7,5760,465,C#,false,0,Full fledged product,57.000,1,7
openstack/mistral,303,0,0,0,0,0.000,41,25,4559,187,Python,false,34,Full fledged product,12.000,2,6
n8n-io/n8n,185423,5295,2383,1183,196,28.556,0,0,2498,682,TypeScript,false,0,Full fledged product,100.000,77,604
nextflow-io/nextflow,3357,27,17,6,2,8.043,0,0,4776,233,Groovy,false,0,Full fledged product,95.000,12,82
node-red/node-red,23040,134,60,31,6,5.816,0,13,4613,247,JavaScript,false,91,Full fledged product,88.000,4,18
apache/oozie,728,0,0,0,0,0.000,42,452,5336,33,Java,true,0,Full fledged product,0.000,0,0
linkyndy/pallets,233,0,0,0,0,0.000,79,2022,3666,4,Ruby,false,0,Full fledged product,0.000,0,0
Parsl/parsl,612,3,2,0,0,4.902,8,0,3472,126,Python,false,10,Full fledged product,59.000,3,4
pegasus-isi/pegasus,220,4,3,3,0,18.182,3,0,4826,39,Java,false,0,Full fledged product,72.000,2,62
creactiviti/piper,501,1,0,0,0,1.996,16,989,3602,4,Java,true,0,Full fledged product,0.000,0,0
plynx-team/plynx,314,0,0,0,0,0.000,35,488,3075,5,JavaScript,false,0,Full fledged product,0.000,0,0
systemslab/popper,308,0,0,0,0,0.000,115,1667,3856,43,Python,false,0,Full fledged product,0.000,0,0
PrefectHQ/prefect,22242,328,142,69,16,14.747,0,0,2855,421,Python,false,0,Full fledged product,100.000,28,294
restatedev/restate,3764,111,55,25,7,29.490,0,0,1205,39,Rust,false,202,Full fledged product,100.000,9,121
riverqueue/river,5052,162,57,23,6,32.067,0,3,897,34,Go,false,12,Full fledged product,100.000,3,26
rundeck/rundeck,6105,46,14,9,1,7.535,0,0,5711,208,Groovy,false,0,Full fledged product,95.000,9,167
snakemake/snakemake,2759,29,15,4,0,10.511,1,0,2393,377,Python,false,0,Full fledged product,81.000,8,14
StackStorm/st2,6449,22,7,5,0,3.411,1,80,4384,168,Python,false,67,Full fledged product,25.000,0,0
LittleLittleCloud/StepWise,155,7,5,0,0,45.161,8,348,591,1,C#,false,0,Full fledged product,7.000,0,0
taskade/mcp,122,3,2,2,0,24.590,5,14,333,8,TypeScript,false,0,Full fledged product,24.000,1,3
temporalio/temporal,19810,727,329,156,31,36.699,0,0,2381,279,Go,false,75,Full fledged product,100.000,41,240
mikub/titanoboa,928,2,1,1,0,2.155,2,1315,2906,2,Clojure,false,0,Full fledged product,12.000,0,0
runabol/tork,800,4,0,0,0,5.000,17,49,1066,8,Go,false,31,Full fledged product,10.000,0,0
aelassas/wexflow,821,13,7,4,0,15.834,3,50,1272,5,C#,false,0,Full fledged product,27.000,0,0
windmill-labs/windmill,16313,275,134,64,13,16.858,0,0,1450,150,HTML,false,0,Full fledged product,100.000,14,390
yawlfoundation/yawl,116,1,0,0,0,8.621,16,8,3923,6,Java,false,0,Full fledged product,24.000,1,3
zeebe-io/zeebe,4088,39,20,9,2,9.540,0,0,3687,255,Java,false,0,Full fledged product,95.000,81,2247
Activiti/Activiti,10530,33,15,10,4,3.134,0,0,4971,225,Java,false,0,BPM Suite,91.000,9,20
bonitasoft/bonita-engine,174,1,0,0,0,5.747,29,0,4678,49,Java,false,0,BPM Suite,62.000,6,116
flowable/flowable-engine,9217,96,48,20,2,10.416,0,4,3480,276,Java,false,0,BPM Suite,90.000,5,27
kiegroup/jbpm,1729,6,3,1,0,3.470,3,127,5692,159,Java,false,0,BPM Suite,12.000,0,0
automatiko-io/automatiko-engine,84,0,0,0,0,0.000,39,10,1915,6,Java,false,0,Library (embedded usage),30.000,2,24
sogou/workflow,14338,47,25,10,1,3.278,0,9,2095,31,C++,false,0,Library (embedded usage),62.000,3,4
camunda/camunda-bpm-platform,4270,11,7,3,0,2.576,2,171,4859,271,Java,true,0,Library (embedded usage),0.000,0,0
LiveRamp/captain,39,1,0,0,0,25.641,16,2085,2751,514,Java,false,0,Library (embedded usage),2.000,0,0
UiPath/corewf,1175,2,2,1,0,1.702,1,15,3528,805,C#,false,0,Library (embedded usage),22.000,1,1
javrasya/django-river,747,3,0,0,0,4.016,19,1908,3928,15,Python,false,7,Library (embedded usage),4.000,0,0
dbos-inc/dbos-transact,1156,36,29,18,7,31.142,0,0,1016,21,TypeScript,false,0,Library (embedded usage),98.000,2,20
Azure/durabletask,1706,9,4,2,1,5.275,0,21,4216,85,C#,false,0,Library (embedded usage),34.000,3,3
noneback/go-taskflow,624,4,2,1,0,6.410,2,32,779,7,Go,false,0,Library (embedded usage),18.000,0,0
kiegroup/kogito-runtimes,9,1,1,1,1,111.111,0,4,865,50,Java,false,0,Library (embedded usage),60.000,13,33
NitorCreations/nFlow,230,2,0,0,0,8.696,22,333,4463,25,Java,false,0,Library (embedded usage),4.000,0,0
scipipe/scipipe,1116,2,1,0,0,1.792,7,658,4065,10,Go,false,0,Library (embedded usage),7.000,0,0
sartography/SpiffWorkflow,1877,10,5,0,0,5.328,7,1,5964,50,Python,false,0,Library (embedded usage),53.000,5,16
symfony/workflow,629,2,1,1,1,3.180,0,5,3591,77,PHP,false,0,Library (embedded usage),58.000,2,16
americanexpress/unify-flowret,122,1,1,1,0,8.197,2,1,2044,181,Java,false,0,Library (embedded usage),50.000,1,1
viewflow/viewflow,2860,6,2,0,0,2.098,9,86,4609,2,Python,false,0,Library (embedded usage),7.000,0,0
danielgerlag/workflow-core,5843,17,9,6,2,2.909,0,3,3446,73,C#,false,0,Library (embedded usage),61.000,1,1
